"","Country","Year","pop"
"896","Uruguay",2020,3429086
"897","Uruguay",2021,3426260
"898","Uruguay",2022,3422794
"899","Uruguay",2023,3423108
"900","Uruguay",2024,3423316
"901","Uzbekistan",2020,34232050
"902","Uzbekistan",2021,34915100
"903","Uzbekistan",2022,35648100
"904","Uzbekistan",2023,35163944
"905","Uzbekistan",2024,35673804
"906","Vanuatu",2020,311685
"907","Vanuatu",2021,319137
"908","Vanuatu",2022,326740
"909","Vanuatu",2023,334506
"910","Vanuatu",2024,342325
"911","Zambia",2020,18927715
"912","Zambia",2021,19473125
"913","Zambia",2022,20017675
"914","Zambia",2023,20569737
"915","Zambia",2024,21134695
"916","Zimbabwe",2020,15669666
"917","Zimbabwe",2021,15993524
"918","Zimbabwe",2022,16320537
"919","Zimbabwe",2023,16665409
"920","Zimbabwe",2024,17020321
